#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
1,Bitcoin,BTC,1211667.0,6.17,-1220.84,-0.1,847.33,0.07,-24096.19,-1.95
2,Ethereum,ETH,8568357.0,7.13,-42764.36,-0.5,-226303.38,-2.57,-814608.02,-8.68
3,Tether,USDT,1300384860.0,1.28,-10025025404.0,-88.52,-15504029741.0,-92.26,70040484.23,5.69
4,Binance Coin,BNB,106204.0,0.07,38.154,0.04,618.13,0.59,1556.57,1.49
5,Lido stETH,STETH,98945.0,1.01,25.3043,0.03,-945.23,-0.95,481.36,0.49
6,XRP,XRP,94684090.0,0.09,267754.81,0.28,-325236.29,-0.34,-1166429.87,-1.22
7,USD Coin,USDC,84358643.0,0.3,-1890666206.0,-95.73,4117435.66,5.13,-2032044860.0,-96.01
8,Cardano,ADA,12449021.0,0.03,-19111213.38,-60.55,-21734355.71,-63.58,-16266774.76,-56.65
9,Avalanche,AVAX,355128.0,0.08,7456.32,2.14,13575.12,3.97,-83173.0,-18.98
10,OKB,OKB,6361214.0,2.12,-160.15,0.0,-22798.03,-0.36,-114771.75,-1.77
11,Dogecoin,DOGE,158763289.0,0.11,3405577.81,2.19,2535279.36,1.62,4348702.25,2.82
12,TRON,TRX,184500552.0,0.21,-79762.49,-0.04,-1219386.63,-0.66,-1726006.14,-0.93
13,ChainLink,LINK,102989104.0,10.3,46489.66,0.05,-412888.5,-0.4,6281408.3,6.5
14,Polkadot,DOT,4313228.0,0.3,-8291.94,-0.19,208002.62,5.07,19114.52,0.45
15,Polygon,MATIC,919367364.0,9.19,-664930.36,-0.07,-18635730.33,-1.99,3151009.55,0.34
16,Wrapped Bitcoin,WBTC,4885.44,3.11,-232.23,-4.54,-357.1,-6.81,-9.1388,-0.19
17,Uniswap,UNI,60802542.0,6.08,412277.99,0.68,5948248.97,10.84,4355429.44,7.72
18,Toncoin,TON,1007643.0,0.02,-3721.9,-0.37,41534.58,4.3,270263.2,36.65
19,Dai,DAI,96827001.0,1.81,-2409553.8,-2.43,-4224497.92,-4.18,-12272026.04,-11.25
20,Shiba Inu,SHIB,115282107804955.0,11.53,65677716469.0,0.06,627658801326.0,0.55,2524130272980.0,2.24
