#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
60,Fetch.AI,FET,213856121.0,18.55,-6143148.96,-2.79,-7092411.48,-3.21,-1596688.7,-0.74
61,EOS,EOS,379309.0,0.03,5678.51,1.52,-92843.03,-19.66,117320.31,44.78
62,IOTA,MIOTA,13065622.0,0.41,-33931.31,-0.26,266133.1,2.08,-1505317.1,-10.33
63,Gala,GALA,23752506739.0,77.0,99915623.44,0.42,214745480.0,0.91,704838885.0,3.06
64,Gnosis,GNO,46389.0,0.46,381.49,0.83,2869.51,6.59,9547.79,25.92
65,PancakeSwap,CAKE,76437644.0,19.82,2504299.59,3.39,3165159.35,4.32,3097762.82,4.22
66,Luna Classic,LUNC,964134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Curve,CRV,271570923.0,13.04,12919038.63,4.99,18704747.56,7.4,50501508.48,22.84
68,Frax Share,FXS,6648832.0,6.67,110064.14,1.68,124486.05,1.91,586082.12,9.67
69,Ethereum Name Service,ENS,9819767.0,9.82,14453.37,0.15,101124.25,1.04,122328.74,1.26
70,PAX Gold,PAXG,32142.0,15.93,-138.35,-0.43,-1482.92,-4.41,-917.81,-2.78
71,Pendle Finance,PENDLE,47320022.0,18.31,603288.99,1.29,1332662.32,2.9,7985309.24,20.3
72,Jasmy,JASMY,14468316512.0,28.94,608288766.0,4.39,524053457.0,3.76,860507626.0,6.32
73,Nexo,NEXO,16333301.0,1.63,277563.57,1.73,-18410.39,-0.11,106054.6,0.65
74,Gemini Dollar,GUSD,8407843.0,26.79,-135006.65,-1.58,346118.34,4.29,417915.2,5.23
75,1inch Token,1INCH,198537129.0,13.24,4122211.71,2.12,6412974.38,3.34,2769769.01,1.41
76,FTX Token,FTT,45704263.0,13.9,17139.92,0.04,55935.92,0.12,-769127.36,-1.65
77,Ondo Finance,ONDO,510052744.0,5.1,-18486198.93,-3.5,-39318919.04,-7.16,-68189045.14,-11.79
78,Rocket Pool,RPL,442408.0,2.2,10800.83,2.5,35322.22,8.68,15109.78,3.54
79,IoTeX,IOTX,193490635.0,0.2,648704.69,0.34,11810882.61,6.5,17415084.91,9.89
80,Trust Wallet,TWT,14088869.0,1.41,-30456.09,-0.22,276215.21,2.0,710425.49,5.31
81,Compound,COMP,1506000.0,15.06,52464.16,3.61,30584.7,2.07,97762.33,6.94
82,ZetaChain,ZETA,10623904.0,0.51,399685.48,3.91,532872.62,5.28,0.0,0.0
83,Pepe,PEPE,186819704563489.0,44.41,1853429969026.0,1.0,2508452966634.0,1.36,17318963764376.0,10.22
84,Gatechain Token,GT,92283056.0,30.76,1494.06,0.0,1501.62,0.0,-2632674.92,-2.77
85,Enjin Coin,ENJ,116410552.0,11.64,878544.58,0.76,-94008.19,-0.08,-11609552.49,-9.07
86,Green Metaverse Token,GMT,349676069.0,6.46,1971145.61,0.57,1006967.1,0.29,38330142.7,12.31
87,Mask Network,MASK,29317969.0,29.32,696746.75,2.43,3833592.23,15.04,4984253.21,20.48
88,SuperVerse,SUPER,136704444.0,13.67,-196270.03,-0.14,-3187334.95,-2.28,-3501101.43,-2.5
89,Zcash,ZEC,35628.0,0.22,137.78,0.39,-5876.19,-14.16,154.72,0.44
90,aelf,ELF,93018935.0,10.57,-57456.88,-0.06,282252.54,0.3,531005.79,0.57
91,SKALE Network,SKL,651777285.0,12.42,-2387787.09,-0.37,7274275.65,1.13,-1873873.94,-0.29
92,Convex Finance,CVX,3025708.0,3.04,15389.76,0.51,239660.54,8.6,-99350.25,-3.18
93,Livepeer Token,LPT,4578745.0,14.77,87115.25,1.94,210744.35,4.82,493795.2,12.09
94,Zilliqa,ZIL,92876980.0,0.49,-1438703.36,-1.53,-11686777.55,-11.18,-28775926.13,-23.65
95,Holo,HOT,56604875531.0,31.87,15726396.59,0.03,52865628.66,0.09,644480500.0,1.15
96,OriginTrail,TRAC,25796731.0,5.16,-847285.61,-3.18,-758974.13,-2.86,-1098349.0,-4.08
97,Pixels,PIXEL,398369433.0,7.97,-1377224.63,-0.34,37972507.51,10.54,0.0,0.0
98,Basic Attention Token,BAT,271406988.0,18.09,-1377513.54,-0.5,14487898.82,5.64,21991387.27,8.82
99,Sushi,SUSHI,104231626.0,41.66,856953.72,0.83,-1055391.14,-1.0,-2224240.85,-2.09
100,Loopring,LRC,324768474.0,23.64,2588126.13,0.8,-1475708.74,-0.45,41335234.51,14.58
101,SafePal,SFP,320202701.0,64.04,120521.82,0.04,-83798905.27,-20.74,-42884969.42,-11.81
102,Illuvium,ILV,785851.0,9.78,1775.05,0.23,10985.21,1.42,43381.98,5.84
103,Floki Inu,FLOKI,1934977045107.0,19.49,-6241978423.0,-0.32,-2978167887.0,-0.15,49330229609.0,2.62
104,API3,API3,19060004.0,14.79,223501.56,1.19,-1014011.11,-5.05,3434858.94,21.98
105,Magic,MAGIC,9234.06,0.0,0.0,0.0,0.0,0.0,-2.521330156623283e+21,-100.0
106,Chromia,CHR,326607901.0,55.14,265016.39,0.08,-2219442.74,-0.67,-13044790.41,-3.84
107,Golem,GLM,91122353.0,9.11,-2019534.81,-2.17,11599749.18,14.59,14834187.65,19.44
108,Aragon,ANT,2674156.0,6.19,-63485.21,-2.32,-601195.1,-18.36,-1793255.51,-40.14
109,SSV Network,SSV,4163601.0,37.81,-30232.96,-0.72,-48463.28,-1.15,-96898.42,-2.27
110,yearn.finance,YFI,8663.79,23.63,17.3134,0.2,28.0636,0.32,149.18,1.75
111,Ankr,ANKR,1527748021.0,15.28,24777117.95,1.65,107520808.0,7.57,225890939.0,17.35
112,0x,ZRX,143319022.0,14.33,1097855.81,0.77,4483506.35,3.23,7879640.89,5.82
113,UMA,UMA,7726772.0,6.54,112602.33,1.48,-136156.81,-1.73,1495291.17,24.0
114,Galxe(Project Galaxy),GAL,50892311.0,25.45,-19735.97,-0.04,2699681.29,5.6,6447599.16,14.51
115,Storj,STORJ,95268607.0,22.42,140049.3,0.15,3863412.06,4.23,17473620.64,22.46
116,Flux,FLUX,50320878.0,11.44,77059.79,0.15,1398206.37,2.86,1439369.41,2.94
117,SPACE ID,ID,168244044.0,8.43,-3488401.6,-2.03,25257684.77,17.66,-87115125.27,-34.11
118,Threshold Network,T,915251442.0,8.29,15255381.3,1.7,-10699787.0,-1.16,135394725.0,17.36
