BTC,bitcoin,https://www.coincarp.com/currencies/bitcoin/
ETH,ethereum,https://www.coincarp.com/currencies/ethereum/
USDT,tether,https://www.coincarp.com/currencies/tether/
BNB,binance-coin,https://www.coincarp.com/currencies/binance-coin/
XRP,ripple,https://www.coincarp.com/currencies/ripple/
STETH,lido,https://www.coincarp.com/currencies/lido/
USDC,usdc,https://www.coincarp.com/currencies/usdc/
ADA,cardano,https://www.coincarp.com/currencies/cardano/
AVAX,avalanche,https://www.coincarp.com/currencies/avalanche/
OKB,okb,https://www.coincarp.com/currencies/okb/
DOGE,dogecoin,https://www.coincarp.com/currencies/dogecoin/
TRX,tron,https://www.coincarp.com/currencies/tron/
LINK,chainlink,https://www.coincarp.com/currencies/chainlink/
DOT,polkadot100,https://www.coincarp.com/currencies/polkadot100/
MATIC,matictoken,https://www.coincarp.com/currencies/matictoken/
UNI,uniswap,https://www.coincarp.com/currencies/uniswap/
WBTC,wrapped-bitcoin,https://www.coincarp.com/currencies/wrapped-bitcoin/
TON,toncoin,https://www.coincarp.com/currencies/toncoin/
DAI,dai,https://www.coincarp.com/currencies/dai/
SHIB,shibainu,https://www.coincarp.com/currencies/shibainu/
BCH,bitcoin-cash,https://www.coincarp.com/currencies/bitcoin-cash/
LTC,litecoin,https://www.coincarp.com/currencies/litecoin/
IMX,immutablex,https://www.coincarp.com/currencies/immutablex/
FIL,filecoinnew,https://www.coincarp.com/currencies/filecoinnew/
ATOM,cosmos,https://www.coincarp.com/currencies/cosmos/
LEO,leotoken,https://www.coincarp.com/currencies/leotoken/
TUSD,true-usd,https://www.coincarp.com/currencies/true-usd/
ETC,ethereum-classic,https://www.coincarp.com/currencies/ethereum-classic/
NEAR,nearprotocol,https://www.coincarp.com/currencies/nearprotocol/
FDUSD,first-digital,https://www.coincarp.com/currencies/first-digital/
INJ,injectiveprotocol,https://www.coincarp.com/currencies/injectiveprotocol/
LDO,lidodaotoken,https://www.coincarp.com/currencies/lidodaotoken/
RNDR,rndrtoken,https://www.coincarp.com/currencies/rndrtoken/
GRT,graph,https://www.coincarp.com/currencies/graph/
CRO,crypto-com-chain,https://www.coincarp.com/currencies/crypto-com-chain/
ARB,arbitrum,https://www.coincarp.com/currencies/arbitrum/
MKR,maker,https://www.coincarp.com/currencies/maker/
BEAMX,onbeam,https://www.coincarp.com/currencies/onbeam/
AAVE,aave-new,https://www.coincarp.com/currencies/aave-new/
EGLD,elrond,https://www.coincarp.com/currencies/elrond/
STRK,starknet,https://www.coincarp.com/currencies/starknet/
AXS,axieinfinity,https://www.coincarp.com/currencies/axieinfinity/
QNT,quant,https://www.coincarp.com/currencies/quant/
SNX,synthetix-network-token,https://www.coincarp.com/currencies/synthetix-network-token/
BLUR,blur,https://www.coincarp.com/currencies/blur/
SAND,thesandbox,https://www.coincarp.com/currencies/thesandbox/
FTM,fantom,https://www.coincarp.com/currencies/fantom/
CHZ,chiliz,https://www.coincarp.com/currencies/chiliz/
DYDX,dydxexchange,https://www.coincarp.com/currencies/dydxexchange/
WLD,world-coin,https://www.coincarp.com/currencies/world-coin/
XTZ,tezos,https://www.coincarp.com/currencies/tezos/
APE,apecoin-com,https://www.coincarp.com/currencies/apecoin-com/
BTT,bittorrent-new,https://www.coincarp.com/currencies/bittorrent-new/
OCEAN,ocean-protocol,https://www.coincarp.com/currencies/ocean-protocol/
KCS,kcs,https://www.coincarp.com/currencies/kcs/
AGIX,agix,https://www.coincarp.com/currencies/agix/
MANA,decentraland,https://www.coincarp.com/currencies/decentraland/
CFX,confluxtoken,https://www.coincarp.com/currencies/confluxtoken/
WOO,wootrade,https://www.coincarp.com/currencies/wootrade/
FET,fetchai,https://www.coincarp.com/currencies/fetchai/
EOS,eos,https://www.coincarp.com/currencies/eos/
MIOTA,iota,https://www.coincarp.com/currencies/iota/
GALA,gala,https://www.coincarp.com/currencies/gala/
GNO,gnosis-gno,https://www.coincarp.com/currencies/gnosis-gno/
CAKE,pancakeswap,https://www.coincarp.com/currencies/pancakeswap/
LUNC,terra,https://www.coincarp.com/currencies/terra/
CRV,curve,https://www.coincarp.com/currencies/curve/
FXS,frax-share,https://www.coincarp.com/currencies/frax-share/
ENS,ethereumnameservice,https://www.coincarp.com/currencies/ethereumnameservice/
PAXG,paxgold,https://www.coincarp.com/currencies/paxgold/
PENDLE,pendlefinance,https://www.coincarp.com/currencies/pendlefinance/
JASMY,jasmy,https://www.coincarp.com/currencies/jasmy/
NEXO,nexo,https://www.coincarp.com/currencies/nexo/
GUSD,geminidollar,https://www.coincarp.com/currencies/geminidollar/
1INCH,1inchtoken,https://www.coincarp.com/currencies/1inchtoken/
FTT,ftx-token,https://www.coincarp.com/currencies/ftx-token/
ONDO,ondo-finance,https://www.coincarp.com/currencies/ondo-finance/
RPL,rocketpoolnet,https://www.coincarp.com/currencies/rocketpoolnet/
IOTX,lotex,https://www.coincarp.com/currencies/lotex/
TWT,trustwallet,https://www.coincarp.com/currencies/trustwallet/
COMP,compound,https://www.coincarp.com/currencies/compound/
ZETA,zetachaincom,https://www.coincarp.com/currencies/zetachaincom/
PEPE,pepe,https://www.coincarp.com/currencies/pepe/
GT,gatechaintoken,https://www.coincarp.com/currencies/gatechaintoken/
ENJ,enjin-coin,https://www.coincarp.com/currencies/enjin-coin/
GMT,green-metaverse,https://www.coincarp.com/currencies/green-metaverse/
MASK,masknetwork,https://www.coincarp.com/currencies/masknetwork/
SUPER,superfarm,https://www.coincarp.com/currencies/superfarm/
ZEC,zcash,https://www.coincarp.com/currencies/zcash/
